IDLavorazione,IDArticolo,IDParam,Tipo_Param,Attrezzi_Param,Impostazione_Param,Param1,Param2,Param3,OP,DOC,DUM,Param4,Param5,Param6,Param7,Param8,Param9
SAL,FNY8152204,129,MICORMIG 350,1.8,sal tratti pulire est,,,,ALESSANDRO,22/09/2021 11:11:45,22/09/2021 11:12:16,,,,,,
SAL,IN-29127,131,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,22/09/2021 11:41:11,22/09/2021 11:41:38,,,,,,
SAL,OV325913,134,MICORMIG 350,1.8,sal tratti pulire est,,,,ALESSANDRO,23/09/2021 08:07:41,23/09/2021 08:08:16,,,,,,
SAL,OV311268,135,T110 TIG,180,sal stagno pulire etsr.,,,,ALESSANDRO,23/09/2021 08:08:45,23/09/2021 08:09:27,,,,,,
SAL,OV325920,140,T110 TIG,180,sal stagno pulire etsr.,,,,ALESSANDRO,23/09/2021 16:24:59,23/09/2021 16:25:23,,,,,,
SAL,B63897,141,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,24/09/2021 08:57:01,24/09/2021 08:57:28,,,,,,
SAL,FNX2281249,144,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,24/09/2021 11:42:36,24/09/2021 11:43:04,,,,,,
SAL,FNY8153923,146,T110 TIG,180,SAL TAGLIO DI RISCONTRO PIU PULIRE,,,,ALESSANDRO,27/09/2021 08:07:22,27/09/2021 08:07:46,,,,,,
SAL,50022501,157,T110 TIG,180,sal stagno pulire etsr.,,,,ALESSANDRO,28/09/2021 17:47:57,28/09/2021 17:48:10,,,,,,
SAL,50022502,158,,180,sal stagno pulire etsr.,,,,ALESSANDRO,28/09/2021 17:48:23,28/09/2021 17:48:42,,,,,,
SAL,1205A2298,159,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,29/09/2021 07:48:44,29/09/2021 07:49:40,,,,,,
SAL,FNX2500208,161,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,29/09/2021 08:38:50,29/09/2021 08:39:08,,,,,,
SAL,FNX0259220,162,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,29/09/2021 08:55:51,29/09/2021 08:56:17,,,,,,
SAL,OV321899,163,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,29/09/2021 09:10:31,29/09/2021 09:10:48,,,,,,
SAL,FNZ0150064,177,T110 TIG,programma 1 corrente 220,,,,,GIUNTA,01/10/2021 07:58:29,01/10/2021 07:59:09,,,,,,
SAL,1208N1375,186,puntatrice 4,prog. 13 . 70,puntatura,,,,ALESSANDRO,04/10/2021 11:59:58,04/10/2021 12:01:44,,,,,,
